collision_id,vehicle_1,vehicle_2,vehicle_3,contributing_vehicle_1,contributing_vehicle_2,contributing_vehicle_3
4407923,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Driver Inattention/Distraction,Unspecified,Unspecified
4407741,Station Wagon/Sport Utility Vehicle,Sedan,nan,Traffic Control Disregarded,Unspecified,nan
4407647,Station Wagon/Sport Utility Vehicle,Bike,nan,Unspecified,Unspecified,nan
4407604,Sedan,Concrete Mixer,nan,Driver Inattention/Distraction,Unspecified,nan
4407752,Sedan,nan,nan,Driver Inattention/Distraction,nan,nan
4408227,Taxi,Sedan,nan,Driver Inattention/Distraction,Unspecified,nan
4408028,Sedan,Sedan,Box Truck,Unsafe Lane Changing,Unspecified,Unspecified
4407445,Sedan,Motorcycle,nan,Reaction to Uninvolved Vehicle,Following Too Closely,nan
4407327,Sedan,Station Wagon/Sport Utility Vehicle,nan,Unspecified,Unspecified,nan
4407928,Bike,nan,nan,Driver Inattention/Distraction,nan,nan
4407412,Taxi,Sedan,nan,Reaction to Uninvolved Vehicle,Unspecified,nan
4407660,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Unspecified,Unspecified,nan
4408154,Sedan,nan,nan,Illnes,nan,nan
4407938,Pick-up Truck,Sedan,nan,Following Too Closely,Unspecified,nan
4408233,Station Wagon/Sport Utility Vehicle,nan,nan,Unspecified,nan,nan
4407990,Sedan,nan,nan,Failure to Yield Right-of-Way,nan,nan
4408331,Sedan,Bike,nan,Failure to Yield Right-of-Way,Unspecified,nan
4407843,Sedan,nan,nan,Driver Inattention/Distraction,nan,nan
4407506,Taxi,Station Wagon/Sport Utility Vehicle,nan,Unspecified,Unspecified,nan
4407359,Sedan,nan,nan,Reaction to Uninvolved Vehicle,nan,nan
4407857,Sedan,Bike,nan,Unspecified,Unspecified,nan
4407788,Station Wagon/Sport Utility Vehicle,nan,nan,Unspecified,nan,nan
4407686,Sedan,Sedan,nan,Unspecified,Unspecified,nan
4408068,Station Wagon/Sport Utility Vehicle,nan,nan,Unspecified,nan,nan
4407353,Bike,Station Wagon/Sport Utility Vehicle,nan,Following Too Closely,Unspecified,nan
4407296,Sedan,nan,nan,Unspecified,nan,nan
4407804,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Following Too Closely,Unspecified,nan
4407795,Sedan,nan,nan,Unspecified,nan,nan
4407347,Sedan,Station Wagon/Sport Utility Vehicle,nan,Traffic Control Disregarded,Unspecified,nan
4407612,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,nan,Unspecified,Unspecified,nan
4407864,Sedan,Sedan,nan,Driver Inattention/Distraction,Unspecified,nan
4408389,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Traffic Control Disregarded,Unspecified,Unspecified
4456714,Sedan,Sedan,nan,Failure to Yield Right-of-Way,Other Vehicular,nan
4408197,E-Bike,Sedan,nan,Failure to Yield Right-of-Way,Unspecified,nan
4407847,Station Wagon/Sport Utility Vehicle,Van,nan,Driver Inexperience,Turning Improperly,nan
4407668,Sedan,Sedan,nan,Failure to Yield Right-of-Way,View Obstructed/Limited,nan
4407998,Sedan,Taxi,nan,Unsafe Speed,Turning Improperly,nan
4407410,scooter,nan,nan,Aggressive Driving/Road Rage,Unspecified,nan
4408095,Sedan,Station Wagon/Sport Utility Vehicle,nan,Failure to Yield Right-of-Way,Unspecified,nan
4456465,E-Bike,Sedan,nan,Failure to Yield Right-of-Way,Unspecified,nan
4407904,Sedan,Sedan,nan,Failure to Yield Right-of-Way,Unspecified,nan
4408226,Station Wagon/Sport Utility Vehicle,E-Bike,nan,Unspecified,Unspecified,nan
4407743,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Driver Inattention/Distraction,Unspecified,Unspecified
4407676,Sedan,nan,nan,Driver Inattention/Distraction,nan,nan
4407699,Sedan,Sedan,nan,Other Vehicular,Following Too Closely,nan
4456516,Sedan,nan,nan,Driver Inattention/Distraction,nan,nan
4407510,Sedan,Sedan,nan,Unspecified,nan,nan
4407992,Sedan,nan,nan,Backing Unsafely,nan,nan
4408221,Sedan,Sedan,nan,Unspecified,Unspecified,nan
4408030,Station Wagon/Sport Utility Vehicle,nan,nan,Driver Inattention/Distraction,nan,nan
4407646,Sedan,nan,nan,Failure to Yield Right-of-Way,nan,nan
4407427,Sedan,Sedan,Sedan,Driver Inattention/Distraction,Unspecified,Unspecified
4407341,Sedan,Sedan,nan,Driver Inattention/Distraction,Unspecified,nan
4408300,Taxi,Station Wagon/Sport Utility Vehicle,nan,Following Too Closely,Unspecified,nan
4407768,Sedan,E-Scooter,nan,Driver Inattention/Distraction,Unspecified,nan
4407680,Sedan,Sedan,nan,Traffic Control Disregarded,Unspecified,nan
4407740,Station Wagon/Sport Utility Vehicle,nan,nan,Turning Improperly,nan,nan
4407822,Sedan,nan,nan,Driver Inattention/Distraction,Unspecified,nan
