"collision_id","borough","crash_date","crash_time","vehicle_1","vehicle_2","vehicle_3","contributing_vehicle_1","contributing_vehicle_2","contributing_vehicle_3"
"4456865","BROOKLYN","2021-09-07","17:35:00","Flat Bed","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Driver Inattention/Distraction","Driver Inattention/Distraction","No additional car involved"
"4456655","BROOKLYN","2021-07-09","06:51:00","Sedan","No additional car involved","No additional car involved","View Obstructed/Limited","No additional car involved","No additional car involved"
"4456058","MANHATTAN","2021-09-11","21:00:00","Station Wagon/Sport Utility Vehicle","Bus","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4456600","BRONX","2021-07-08","14:30:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4456592","BROOKLYN","2021-07-04","00:58:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4456140","QUEENS","2021-09-11","02:38:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Unsafe Speed","No additional car involved","No additional car involved"
"4456577","BROOKLYN","2021-07-04","21:00:00","Sedan","E-Bike","No additional car involved","Alcohol Involvement","No additional car involved","No additional car involved"
"4456200","BROOKLYN","2021-09-11","18:00:00","Sedan","Sedan","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4456692","QUEENS","2021-07-03","10:18:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4456921","BROOKLYN","2021-09-11","14:40:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","Driver Inattention/Distraction","No additional car involved"
"4456768","STATEN ISLAND","2021-09-07","08:03:00","E-Bike","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4455757","BROOKLYN","2021-09-11","07:09:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4457032","QUEENS","2021-09-07","03:00:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4456572","BRONX","2021-07-07","18:04:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4455822","BROOKLYN","2021-09-11","07:33:00","Station Wagon/Sport Utility Vehicle","Taxi","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4456721","MANHATTAN","2021-09-08","08:43:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4456819","QUEENS","2021-09-09","12:00:00","Motorcycle","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4456609","QUEENS","2021-07-07","17:13:00","Station Wagon/Sport Utility Vehicle","E-Bike","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4456078","BRONX","2021-09-11","18:03:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4456688","BROOKLYN","2021-07-09","10:38:00","Sedan","No additional car involved","No additional car involved","Tinted Windows","No additional car involved","No additional car involved"
"4456395","BROOKLYN","2021-09-11","02:00:00","nan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4456791","MANHATTAN","2021-09-10","17:08:00","Taxi","Sedan","Sedan","Unspecified","No additional car involved","No additional car involved"
"4456614","MANHATTAN","2021-07-08","17:55:00","Motorcycle","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4456953","MANHATTAN","2021-09-10","21:03:00","Sedan","E-Scooter","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4456563","QUEENS","2021-07-04","04:00:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4456656","QUEENS","2021-07-08","21:19:00","Sedan","Station Wagon/Sport Utility Vehicle","Sedan","Unsafe Speed","No additional car involved","No additional car involved"
"4457006","BRONX","2021-09-10","17:39:00","Station Wagon/Sport Utility Vehicle","E-Bike","No additional car involved","Unsafe Lane Changing","Driver Inattention/Distraction","No additional car involved"
